id,collection,dc.title[en_US],dc.contributor.author[en_US],dc.description.abstract[en_US],dc.publisher,dc.date.issued,dc.identifier.doi,dc.identifier.issn,dc.subject,dc.language,dc.type,dc.publisher.volume,dc.publisher.issue,dc.publisher.page,dc.identifier.uri
123456789/942,123456789/939||123456789/937,"Effect of Platelet Rich Plasma on Post Cryopreservation Viability, Morphology and Proliferation of Human Umbilical Cord Stem Cells","Goei, Noviyanti||Liem, Isabella Kurnia||Pawitan, Jeanne Adiwinata||Mediana, Dian","In most cryopreservation medium, Fetal Bovine Serum (FBS) is used as supplement, while it is well known that FBS contains xenoproteins that can be incorporated into the cells and may be harmfull, as they can elicit immune response. Therefore, finding other xenofree materials as FBS alternative in cryopreservation medium is very important. Platelet Rich Plasma (PRP) is albumin rich and is a candidate for FBS alternative as cryopreservation supplement. Albumin is a natural extracellular cryoprotective agent that stabilizes impaired cell membrane during cryopreservation. This was an in vitro analytical study to to compare the effect of PRP and FBS as supplement in cryopreservation medium on human umbilical cord stem cells. In this study the stem cells were isolated from an umbilical cord tissue by explant method and propagated untill we got enough cells for cryopreservation. Cryopreservations were done using eight types of protocol, which differed in type and concentration of supplement and cell concentration. The effect of the eight protocols were compared in terms of post cryopreservation cell viability, morphology, cell size and proliferation. There were no difference between FBS and PRP supplemented cryopreservation media in term of cell viability and morphology. PRP supplemented medium showed better post cryopreservation performance in cell size and proliferation. PRP can be used as an alternative to FBS in cryopreservation medium for human umbilical cord tissue derived stem cells.",Online Journal of Biological Sciences,2015,10.3844/ojbsci.2015.42.48,1608-4217,Stem Cells||Umbilical Cord||Cryopreservation,en,Journal Article,15,2,42-48,https://thescipub.com/pdf/10.3844/ojbsci.2015.42.48
123456789/943,123456789/683||123456789/769,"Genetic Variants of FADS Gene Cluster, Plasma LC-PUFA Levels, and the Association with Cognitive Function of Under-Two-Year-Old Sasaknese Indonesian Children","Suryandari, Dwi Anit||Dillon, Drupadi||Fahmida, Umi||Htet, Min Kyaw||Adhiyanto, Chris||Kolopaking, Risatianti||Yudisti, Miza Agria||Maududi, Allay||Afman, Lydia||Müller, Michael ","BACKGROUND/AIMS: Long-chain polyunsaturated fatty acids (LC-PUFA) are regarded as essential for child cognition. Genetic variation in fatty acid (FA) desaturase enzyme (FADS) has been recognized as an important effect modifier in the relation between LC-PUFA and child cognitive function. This study aimed to identify the distribution of genetic variant (genotype) SNP rs174468 and to assess plasma FA and developmental outcome by the genotype among under-2 year old Sasaknese Indonesian children.||METHODS: Data was collected at baseline of a randomized trial (NUPICO, clinicaltrials.gov NCT01504633) in East Lombok district, Indonesia. Breastfed, 12- 17 month old children were recruited and 240 subjects were included in the study. Child cognition was assessed as Bayley Mental Developmental Index (MDI).||RESULTS: From 206 subjects whose blood samples can be collected, only two genotypes were found (90.3% GG homozygotes, 9.7% AG heterozygotes), and minor allele AG was significantly associated with higher level of arachidonic acid (20:4 n-6), n-6 LC-PUFA and FADS1 index. MDI score was associated with a FADS2 index (DHA:EPA ratio) but not genotype (Adjusted R-square= 0.043).||CONCLUSIONS: FADS2 index was associated with cognitive function. No difference was found between children with GG and AG genotypes who were all breastfed and not low birth weight",Asia Pacific Journal of Clinical Nutrition,2015,10.6133/apjcn.2015.24.2.17,,Cognitive Function||FADS||Indonesia||LC-PUFA||Under-Two-Year-Old Children,en,Journal Article,24,2,323-328,http://apjcn.nhri.org.tw/server/APJCN/24/2/323.pdf
123456789/944,123456789/677,Assessment of Point-of-Care Diagnostic for G6PD Deficiency in Malaria Endemic Rural Eastern,"Satyagraha, Ari W||Sadhewa, Arkasha||Elvira, Rosalie||Elyazar, Iqbal||Feriandika, Denny||Antonjaya, Ungke||Oyong, Damian||Subekti, Decy||Rozi, Ismail E||Harahap, Alida R||Baird, J Kevin||Domingo, Gonzalo J","Patients infected by Plasmodium vivax or Plasmodium ovale suffer repeated clinical attacks without primaquine therapy against latent stages in liver. Primaquine causes seriously threatening acute hemolytic anemia in patients having inherited glucose-6-phosphate dehydrogenase (G6PD) deficiency. Access to safe primaquine therapy hinges upon the ability to confirm G6PD normal status. CareStart G6PD, a qualitative G6PD rapid diagnostic test (G6PD RDT) intended for use at point-of-care in impoverished rural settings where most malaria patients live, was evaluated.",PloS Neglected Tropical Diseases,2016,10.1371/journal.pntd.0004457,1935-2735,,en,Journal Article,10,2,e0004457,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4760930/
123456789/945,123456789/691,Cardioprotection Mechanism of Mangiferin on Doxorubicin-Induced Rats: Focus on Intracellular Calcium Regulation,"Arozal, Wawaimuli||Louisa, Melva||Soetikno, Vivian||Nafrialdi||Suyatna, Franciscus||Siswanto, Soni||Agustini, Femmi Dwinda","CONTEXT: The molecular mechanism of doxorubicin (DOX) cardiotoxicity involves overproduction of free radicals that leads to intracellular calcium dysregulation and apoptosis. Mangiferin (MGR), a naturally occurring glucosylxanthone, has antioxidant and cardioprotective properties. However, its cardioprotection mechanism has yet to be revealed.||OBJECTIVE: This study determines whether the cardioprotective effect of MGR is caused by its effect on intracellular calcium regulation.||MATERIALS AND METHODS: Male Sprague-Dawley rats were induced by DOX intraperitoneally with a total dose of 15 mg/kg bw. MGR was given orally at the doses of 30 and 60 mg/kg bw/d for seven consecutive weeks. The parameters examined were mRNA expression levels of proinflammatory cytokine gene (TNF-α), calcium regulatory gene (SERCA2a) and proapoptotic genes (caspase-9 and caspase-12), as well as cytosolic and mitochondrial calcium levels.||RESULTS: Treatment with MGR at 60 mg/kg bw/d significantly decreased the mRNA expression levels of TNF-α by 44.55% and caspase-9 by 52.79%, as well as the cytosolic calcium level by 24.15% (p < 0.05). SERCA2a and caspase-12 expressions were only slightly affected (27.27% increase and 24.85% decrease for SERCA2a and caspase-12, respectively, p > 0.05). Meanwhile, MGR 30 mg/kg bw/d gave insignificant results in all parameters.||DISCUSSION AND CONCLUSION: MGR protected against DOX-induced cardiac inflammation and apoptosis via down-regulation of proapoptotic and proinflammatory gene expressions, upregulation of SERCA2a gene expression, and normalization of cytosolic calcium level. Thus, the cardioprotective effect of MGR is at least in part due to the regulation of intracellular calcium homeostasis.",Pharmaceutical Biology,2016,10.3109/13880209.2015.1073750,1388-0209,Apoptosis||SERCA2a||Cardiotoxicity||Inflammation,en,Journal Article,54,7,1289-1297,https://www.tandfonline.com/doi/full/10.3109/13880209.2015.1073750
123456789/946,123456789/691,Confirmed Plasmodium Vivax Resistance to Chloroquine in Central Vietnam,"Louisa, Melva||Thanh, Pham Vinh||Hong, Nguyen Van||Van, Nguyen Van||Baird, Kevin||Xa, Nguyen Xuan||Grietens, Koen Peeters||Hung, Le Xuan||Duong, Tran Thanh||Rosanas-Urgell, Anna||Speybroeck, Niko||D'Alessandro, Umberto||Erhart, Annette","Plasmodium vivax resistance to chloroquine (PvCQR) is currently reported in almost all vivax endemic countries. In Vietnam, despite a first report on PvCQR published in the early 2000s, P.vivax was still considered sensitive to CQ. Between May 2009 and December 2011, a 2-year cohort study was conducted in Central Vietnam to assess the recommended radical cure regimen based on a 10-day course Primaquine (0.5mg/kg/day) together with 3 days CQ (25mg/kg). We hereby report the results of the first 28-day follow-up estimating the cumulative risk of P. vivax recurrences together with the corresponding CQ blood concentrations among other endpoints. Out of 260 recruited P.vivax patients, 240 completed treatment and were followed up to day 28 according to the WHO guidelines. Eight patients (3.45%) had a P.vivax recurrent infection, at day 14 (n=2), day 21 (n=1) and day 28 (n=5). Chloroquine blood concentrations, available in 3/8 recurrent infections (day 14,21,28) were above the minimal inhibitory concentration (>100ng/ml whole blood) in all of them. Fever and parasitaemia (both sexual and asexual stages) were cleared by day 3. Anemia was common at day 0 (35.8%) especially in children below 10 (50%) and hemoglobin (Hb) recovery at day 28 was substantial among anemic patients (median change d28-d0 =+1.7g/dl; IQR[+0.7; +3.2]). This report, based on CQ blood levels measured at the time of recurrences, confirms for the first time P. vivax CQ resistance in Central Vietnam, and calls for further studies using standardized protocols for accurately monitoring the extent and evolution of PvCQR in Vietnam. These results, together with the mounting evidence of artemisinin resistance in Central Vietnam, further highlight the increasing threat of antimalarial drug resistance on malaria elimination in Vietnam.",Antimicrobial Agents and Chemotherapy,2015,10.1128/AAC.00791-15,1098-6596,Plasmodium Vivax||Chloroquine||Resistance||Central Vietnam,en,Journal Article,59,12,7411-7419,https://aac.asm.org/content/59/12/7411
123456789/947,123456789/691,Curcumin Ameliorates Streptozotocin-Induced Liver Damage Through Modulation of Endoplasmic Reticulum Stress-Mediated Apoptosis in Diabetic Rats,"Afrin, R||Arumugam, S||Soetikno, V||Thandavarayan, R A||Pitchaimani, V||Karuppagounder, V||Sreedhar, R||Harima, M||Suzuki, H||Miyashita, S||Nomoto, M||Suzuki, K||Watanabe, K","We investigated the effect of curcumin on liver injury in diabetic rats induced by streptozotocin (STZ) through modulation of endoplasmic reticulum stress (ERS) and unfolded protein response (UPR). Experimental diabetes was induced by a single intraperitoneal injection of STZ (55 mg/kg), and curcumin was given at 100 mg/kg by gavage for 56 days. We observed that curcumin improved the morphological and histopathological changes, significantly decreased hepatic ERS marker protein: glucose-regulated protein 78, and improved liver function in diabetic rats. Moreover, treatment with curcumin markedly decreased the sub-arm of the UPR signaling protein such as phospho-double-stranded RNA-dependent protein kinase-like ER kinase, CCAAT/enhancer-binding protein homologous protein, tumor necrosis factor receptor-associated factor 2, and inositol-requiring enzyme1α; and inhibited tumor necrosis factor α, interleukin 1β, phospho-p38 mitogen-activated protein kinase, and apoptosis signal-regulating kinase 1 in liver tissues of diabetic rats. Apoptotic and anti-apoptotic signaling proteins, such as cleaved caspase-3 and B-cell lymphoma 2, were significantly increased and decreased, respectively in diabetic rats; curcumin treatment prevented all of these alterations. In summary, our results indicate that curcumin has the potential to protect the diabetic liver by modulating hepatic ERS-mediated apoptosis, and provides a novel therapeutic strategy for the diabetic liver damage.",Free Radical Research,2015,10.3109/10715762.2014.999674,1029-2470,Apoptosis||Curcumin||Diabetes Mellitus||Endoplasmic Reticulum Stress||Liver,en,Journal Article,49,3,279-289,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4389763/
123456789/948,123456789/937,Expression of Beta Subunit 2 of Ca2+/Calmodulin-Dependent Protein Kinase I in the Developing Rat Retina,"Jusuf, Ahmad Aulia||Sakagami, Hiroyuki||Kikkawa, Satoshi||Terashima, Toshio","Expression of beta 2 subunit of Ca 2+ /calmodulin - dependent protein kinase I (CaMKI β 2) of the rat retina during the developmental period and in the adulthood was studied immunohistochemically. The immunoreactivity of CaMKI β 2 was detected in the earliest development of the primordial retina at embryological day (E) 12. The inner neuroblastic layer from which the presumptive ganglion cells are generated showed the ubiquitous CaMKI β 2 immunoreactivity at E15 and persistently expressed at the same level until postnatal day (P) 0 when the inner neuroblastic layer divides into the ganglionic cell layer and the inner plexiform layer. The strong immunoreactivity was detected in the ganglion cell layer and the moderate one in the internal plexiform layer. CaMKI β 2 immunoreactivities were persistantly expressed throughout the postnatal development at the same level. The low level of intensity was first found in the inner nuclear layer at P7, followed by the outer plexiform, outer nuclear and rod - cone cell layers at the age of P12, respectively. The intensit ies of CaMKI β 2 immunoreactivities in the inner nuclear and ro d - cone cell layers were gradually increased to the strong level by P18 and persisted until adulthood. The present study revealed that the expression of CaMKI β 2 in the retina was detected from the earliest development until adulthood, indicating that CaMKI β 2 may be required in both proliferation and differentiation of the retinal precursor cells and subsequent formation of the functional layers. In addition, CaMKI β 2 immunoreactivity in the rod - cone cell layer implies that this protein may be involved in the visual signaling process.",The Kobe Journal of Medical Sciences,2015,,,CaM Kinase I||Retina||Calmodulin||Development,en,Journal Article,61,4,E115-E123,http://www.med.kobe-u.ac.jp/journal/contents/61/E115.pdf
123456789/949,123456789/939||123456789/937||123456789/761,A New Method in Walking Analysis Using the Angles around the Midpoint between Print Length and Toe Spread by Four Different Color Footprints,"Margiana, Ria||Jusuf, Ahmad Aulia||Liem, Isabella Kurnia||Pawitan, Jeanne Adiwinata","Sciatic function index (SFI) has long been used as one of the evaluation methods of walking analysis. SFI is a method in assessing nerve function through footprints in walking analysis. Methods that previously have been developed use one color ink, but this method is difficult to interpret. The Interpretation is difficult because of mingled footprints among the mice four legs.",International Journal of Sciences: Basic and Applied Research (IJSBAR),2015,,2307-4531,Walking Analysis||Angles Around the Midpoint Between Print Length and Toe Spread||Four Different Colors Footprint,en,Journal Article,21,1,117-128,http://gssrr.org/index.php?journal=JournalOfBasicAndApplied&page=article&op=view&path%5B%5D=3637
123456789/950,123456789/939||123456789/937||123456789/878,Comparison of Flowcytometric and Immunocytochemistry Analysis of Stem Cell Surface Markers,"Pawitan, Jeanne Adiwinata||Wulandari, Dewi||Damayanti, Lia||Liem, Isbaella Kurnia||Suryani, Des","Flowcytometric analysis is widely used in characterization of stem cells. In areas where flowcytometry is not available, characterization of stem cells can be done using immunocytochemistry. This study aimed to compare the results of flowcytometry against immunocytochemistry for the measurement of CD34, CD73 and CD90 in stem cells. Adipose tissue derived stem cells were analyzed for their CD34, D73 and CD90 simultaneously, using a BD FACSCalibur flowcytometer (BD Biosciences) with 10,000 gated events. The same sample was made into spot specimens and checked for CD34, CD73 and CD90 by immunocytochemistry and when available, 100 cells were screened for positive results and percentages of positive results for CD34, CD73 and CD90 were computed. The results of the two methods were compared. Discrepancies between the two methods were noted for all samples. Discrepancies lower than 3, 11 and 11% for CD34, CD73 and CD90 respectively were regarded as agreement between the two methods. Percentages of agreement in CD34, CD73 and CD90 were calculated. Some spot specimens did not yield 100 cells and analyses were done on available cells. The agreement between the two methods for CD34, CD73 and CD90 were 22, 42 and 29% respectively. Agreement between flowcytometry and immunocytochemistry was low for CD34 and CD90 and was moderate for CD73.",Online Journal of Biological Sciences,2015,10.3844/ojbssp.2015.1.5,,Flowcytometry||Immunocytochemistry||CD34||CD73||CD90,en,Journal Article,15,1,5-Jan,https://thescipub.com/pdf/10.3844/ojbsci.2015.1.5
123456789/951,123456789/753,A Portable Mirror Stand for Clinical Facial Photo Documentation,"Supit, Laureen||Prasetyono, Theddeus OH ","In plastic surgery, patient photography is a vital component of clinical, educational, legal, and research documentation. Optimal acquisition of photographic data requires a dedicated photography studio or a three-dimensional anatomic scanner, both of which are financially impractical for most clinicians. Simplified photo standardization is proposed for use in random clinical settings by using a portable device called the Mirror Stand (MirS). This model device aims to mimic a studio environment by incorporating the basic elements of producing consistent photographs. The pilot MirS is designed for facial photography. Images of 40 random subjects were obtained using the MirS with three different cameras. Real anthropometric measurements of each subject were collected, compared with the photographic measurements, and analyzed. In this study, all three cameras produced equally reliable measurements. Actual facial measurements were comparable to the photogrammetric measurements obtained from photographs taken using the MirS. A constant formula was derived; it allowed the conversion of photographic values into real anthropometric values. The MirS produced consistent photographs with respect to the measurements. The photographs obtained could be translated reliably into their real anthropometric measurements. Therefore, the MirS can be applied in daily practice, providing an efficient alternative for obtaining a standard justifiable photograph.",Archives of Plastic Surgery,2015,10.5999/aps.2015.42.3.356,2234-6163,Anthropometry||Cephalometry||Photogrammetry||Plastic Surgery,en,Journal Article,42,3,356-360,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4439598/
123456789/952,123456789/753,A Review of Macrodystrophia Lipomatosa: Revisitation,"Prasetyono, Theddeus OH||Hanafi, Enjeline||Astriana, Windi","Macrodystrophia lipomatosa (MDL) is a rare congenital non-hereditary disorder that has significant impact on patient morbidity. This study provides a comprehensive review of the natural history, diagnosis, management, and outcomes of the disorder. A literature search in PubMed was conducted to identify cases of MDL from January 1950 to 14 February 2014. After ruling out articles without information related to the management of the disorder, a summary of 32 studies was performed. An additional three cases from the authors are also presented. Based on 57 journal articles and three additional cases from the authors, around 108 cases of MDL were reviewed. Most patients were males who were admitted to a treatment clinic in the first four years of life. The lower extremities were more frequently affected, with unilateral presentation being most common. They commonly underwent a single-staged surgical procedure with follow-up periods ranging from more than one year up to 21 years. Out of 43 cases that underwent surgical procedures, 13 reported no complications, and there were seven cases of esthetic satisfaction and 15 cases of significant functional improvement. Depending on the severity of a patient’s condition, the use of non-invasive diagnostic tools should be carefully considered. Surgery might be a better choice of management than observation, taking into account possible future complications in the absence of surgery and the beneficial outcomes of surgical procedures.",Archives of Plastic Surgery,2015,10.5999/aps.2015.42.4.391,2234-6163,Congenital Limb Deformities||Fingers||Lower Extremity||Upper Extremity,en,Journal Article,42,4,391-406,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4513046/
123456789/953,123456789/753,A Review on the Safety of One-Stage Circumferential Ring Constriction Release,"Prasetyono, Theddeus OH||Sitorus, Ade SN ","The study was undertaken to investigate the use of one-stage circumferential ring-constriction release with Z-plasties regarding the safety, aesthetic appearance, and limb function. A thorough review was conducted on all English publications in PubMed during the period of 2001 through 2011. Titles and abstracts were identified using online search engine from National Library of Medicine’s PubMed database under the keywords ‘‘limb constriction ring,’’ ‘‘limb constriction band,’’ ‘‘amniotic band,’’ ‘‘annular constriction,’’ and ‘‘circumferential constriction.’’ We used Boolean operator and field of title. Evaluation was done to search indications, timing of the first surgical intervention, time interval between surgeries, patients’ gender, anatomic location of the ring, wound healing problems, and scar quality. Fourteen publications met the criteria. There were 17 patients with 25 ring constrictions in total. Sixteen ring constrictions (64%) were circumferential; nine (36%) were semi-circumferential. Mean age of 14 patients treated with one-stage release was 4.8 years. Six articles mentioned about normal development of postoperative limb function. Mean age of three patients treated with staged release was 10.5 months. Two articles mentioned regained distal muscle function postoperatively. It is confirmed that surgeons may continue the practice to release circumferential CRS in one stage.",International Surgery,2015,10.9738/INTSURG-D-13-00230.1,2520-2456,Amniotic Band Syndrome||Constriction Ring||Surgical Procedures||Pediatrics,en,Journal Article,100,2,341-349,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4337452/
123456789/954,123456789/753,Efficacy and Safety of Tamsulosin Hydrochloride Compared to Doxazosin in the Treatment of Indonesia Patients with Lower Urinary Tract Symptoms due to Benign Prostatic hyperplasia,"Rahardjo, Djoko||Birowo, Ponco||Soebadi, Doddy M||Sugandi, Suwandi||Djati, Wahjoe||Wahyudi, Irfan","Aim: The objective of the study was to compare the efficacy and safety of tamsulosin hydrochloride and doxazosin in patients with lower urinary tract symptoms (LUTS) due to benign prostatic hyperplasia (BPH).||Methods: The safety and efficacy of tamsulosin (0.2?mg) and doxazosin (2?mg) was determined after once daily administration for 6?weeks in an open-label, randomized, multicenter study of 101 men with BPH. The International Prostatic Symptom Score (IPSS), maximal urinary flow rates (Qmax), average urinary flow rates (Qave) and residual urine were determined at baseline and again at 6?weeks as efficacy parameters. The primary parameters used for safety evaluation were vital signs (blood pressure and heart rate) and adverse events. The number of patients with a clinically significant response to treatment with tamsulosin or doxazosin was determined and defined as those with >20% improvement from the baseline Qmax or >20% decrease in total IPSS.||Results: The total IPSS decreased significantly in both the tamsulosin and doxazosin groups compared to baseline. There was a significant difference in the decrease in total IPSS between two groups. Qmax, Qave and residual urine significantly improved only in the tamsulosin group. There were no significant differences in systolic blood pressure, diastolic blood pressure or heart rate profile in the tamsulosin group; however, doxazosin resulted in a significant difference in systolic and diastolic blood pressure. Tamsulosin was well tolerated; only three patients (6%) in the tamsulosin group reported an adverse event (dizziness) while 11 patients (22%) in the doxazosin group reported an adverse event (dizziness), one of whom withdrew from the study.||Conclusions: Tamsulosin was shown to be more effective than doxazosin in the treatment of LUTS due to BPH.",International journal of urology,2006,10.1111/j.1442-2042.2006.01590.x,0919-8172,Benign Prostatic Hyperplasia||Doxazosin||Lower Urinary Tract Symptoms||Tamsulosin,en,Journal Article,13,11,1405-1409,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1442-2042.2006.01590.x
123456789/955,123456789/697,Benefits of a Dedicated Breastfeeding Facility and Support Program for Exclusive Breastfeeding Among Workers in Indonesia,"Basrowi, Ray W||Sulistomo, Astrid B||Adi, Nuri Purwito||Vandenplas, Yvan ","Purpose: A mother's working environment is believed to be a major determinant of exclusive breastfeeding (EBF) practice. We aimed to define the influence of a facility dedicated to breastfeeding and a breastfeeding support program at the workplace on breastfeeding practice.||Methods: A cross-sectional study was performed in five workplaces. The inclusion criteria were female workers whose last child was between 6 and 36 months old. Observational data were obtained and a questionnaire was filled out. The World Health Organization definition for EBF was used.||Results: Data from 186 subjects (74 office workers and 112 factory workers) were collected. Just over half (52%) of the mothers were between 20 and 46 years old, 75.3% had graduated from high school and university, 12.9% had more than two children and 36.0% owned a house. The prevalence of EBF during the last 6 months was 32.3%. A proper dedicated breastfeeding facility was available for 21.5% of the mothers, but only 7.5% had been in contact with a breastfeeding support program. The presence of a dedicated breastfeeding facility increased EBF practice almost threefold, by an odds ratio (OR) of 2.74 and a 95% confidence interval (CI) of 1.34-5.64 (p<0.05). Knowledge of the breastfeeding support program increased EBF practice by almost six times (OR, 5.93; 95% CI, 1.78-19.79) (p<0.05).||Conclusion: Our findings suggest that Governments should make it obligatory for employers to offer a breastfeeding support program and a dedicated breastfeeding facility at the workplace as these simple measures significantly increase EBF.","Pediatric Gastroenterology, Hepatology & Nutrition",2015,10.5223/pghn.2015.18.2.94,2234-8646,Breast Feeding||Manpower||Dedicated Breastfeeding Facility||Breastfeeding Support Program,en,Journal Article,18,2,94-99,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4493252/
+,123456789/697,Effectiveness of the Bacillus Calmette-Guerin Vaccine in an Indonesian Population with D543N NRAMP1 Polymorphism,"Pakasi, Trevino A||Putera, Ikhwanuliman||Syahmar, Ikrar||Bramantyo, Aulia A||Karyadi, Elvina||Melani, Ani||Sahiratmadja, Edhyana ","Introduction: Bacille Calmette-Guerin (BCG) vaccination remains a routine immunization in primary care in tuberculosis (TB)-endemic areas, though several studies found that its efficacy was inconclusive. Natural resistance-asociated machrophage protein 1 (NRAMP1) polymorphism has been shown to result in higher susceptibility to TB. Information on genetic susceptibility in populations will be useful in planning the application of the BCG vaccine. The present study explored BCG efficacy in a rural Timor population with specific NRAMP1 polymorphism in a TB-endemic region of eastern Indonesia.||Methodology: A case-control study with 64 newly diagnosed pulmonary TB patients and 65 healthy controls was performed. BCG scars were examined by a physician. NRAMP1 polymorphism was evaluated using molecular methods.||Results: Half of the subjects (65; 50.4%) had a clear presenting BCG scar on the upper arm, suggesting a successful BCG vaccination. Among the subjects, D543N NRAMP1 polymorphism, history of contact with TB patients, and not having a clear BCG scar on the upper arm tended to be significantly association with active TB. The significant differences were more profound when subjects were divided based on presenting BCG scar. Subjects without clear BCG scars had significant association with developing TB disease (p = 0.014). In multivariate analysis, history of previous contact with TB patients and unclear presenting BCG scar were associated with active TB (OR 9.2; 2.0–43.8 95% CI, OR 4.8; 2.1–11.0 95% CI, respectively).||Conclusions: BCG vaccination in our population was effective for TB protection, especially in highly endemic areas of TB, regardless genetic susceptibility.",Journal of Infection in Developing Countries,2015,10.3855/jidc.5047,1972-2680,BCG Vaccination||Tuberculosis||NRAMP1||Polymorphism,en,Journal Article,9,1,42-47,https://jidc.org/index.php/journal/article/view/25596570/1229
+,123456789/779,A Double Blind Randomized Trial Showing Probiotics to be Ineffective in Acute Diarrhea in Indonesian Children,"Hegar, Badriul||Waspada, I Made Indra||Gunardi, Hartono||Vandenplas, Yvan ","OBJECTIVE: To investigate the efficacy of probiotics added to oral rehydration solution and zinc in the treatment of acute infectious diarrhea in Indonesian children.||METHODS: A prospective randomized double blind placebo-controlled trial was performed to test the efficacy of a probiotic food supplement in 112 children in the Kenari subdistrict, central Jakarta, aged 6-36 mo with acute infectious diarrhea and moderate dehydration. The supplemented group was given standard therapy (oral rehydration solution and zinc) and the probiotic strains Lactobacillus (L.) rhamnosus R0011 1.9 × 109 colony forming units (cfu) and L. acidophilus R0052 0.1 × 109 cfu/d for 7 d, while the control group was given standard therapy and placebo.||RESULTS: Median duration of diarrhea was 68.5 h (range 13-165) in the supplemented and 61.5 h (range 21-166) in the control group (P = 0.596). Median daily frequency of defecation until diarrhea stopped was 5.0 in the supplemented vs. 5.5 in the control group (P = 0.795).||CONCLUSIONS: This probiotic food supplement tested did not reduce the duration of acute infectious diarrhea as compared to oral rehydration and zinc.",Indian Journal of Pediatrics,2015,10.1007/s12098-014-1408-5,0973-7693,Acute Diarrhea||Acute Gastroenteritis||Lactobacillus||Oral Rehydration (solution)||Probiotic||Zinc,en,Journal Article,82,5,410-414,https://www.ncbi.nlm.nih.gov/pubmed/24777621
